                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0168,                0.37815,                 1.0552,                0.86973,                0.81028,                0.84178,                0.54197,                 1.2591,                0.49605,                 1.2126,             0.00066599,             0.00066599,             0.00066599
                      2,                 1.0637,                0.41341,                 1.1038,                0.86176,                0.73518,                0.81884,                0.51388,                 1.3048,                0.55461,                 1.2384,              0.0013188,              0.0013188,              0.0013188
                      3,                 1.0749,                0.42809,                 1.0735,                0.87359,                0.80237,                0.84997,                0.53723,                 1.2809,                0.48452,                 1.2542,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.0896,                0.44034,                 1.0861,                 0.8475,                0.74685,                 0.8282,                0.52548,                 1.2742,                0.50123,                 1.2536,              0.0019375,              0.0019375,              0.0019375
                      5,                 1.0856,                0.46351,                 1.0839,                0.81717,                 0.7668,                0.82379,                 0.5038,                 1.2979,                0.56427,                 1.2506,              0.0019166,              0.0019166,              0.0019166
                      6,                 1.0566,                0.43381,                 1.0808,                0.81558,                0.78658,                0.83188,                0.52895,                 1.2503,                0.55067,                 1.2292,              0.0018958,              0.0018958,              0.0018958
                      7,                 1.0861,                0.45168,                 1.0973,                0.86208,                0.78261,                0.84007,                0.54473,                 1.2251,                0.54824,                 1.2114,              0.0018749,              0.0018749,              0.0018749
                      8,                 1.0694,                0.43142,                 1.0828,                0.83643,                0.78829,                  0.816,                 0.5257,                 1.2179,                 0.5122,                 1.2194,              0.0018541,              0.0018541,              0.0018541
                      9,                  1.074,                0.44607,                 1.0721,                0.85246,                0.77646,                0.83044,                0.52423,                 1.2743,                0.56416,                 1.2283,              0.0018333,              0.0018333,              0.0018333
                     10,                 1.0483,                 0.4252,                 1.0654,                0.86593,                0.82213,                0.84504,                0.52694,                 1.2832,                0.51776,                 1.2336,              0.0018124,              0.0018124,              0.0018124
                     11,                 1.0894,                0.43463,                  1.094,                0.85075,                0.76606,                0.81685,                0.50648,                   1.31,                0.56718,                 1.2555,              0.0017916,              0.0017916,              0.0017916
                     12,                 1.0418,                0.41976,                 1.0643,                0.88859,                0.75658,                0.81913,                0.52201,                 1.2749,                0.54352,                 1.2454,              0.0017707,              0.0017707,              0.0017707
                     13,                 1.0317,                0.39617,                 1.0657,                0.82672,                0.77866,                0.82613,                0.51528,                 1.3197,                0.52578,                 1.2695,              0.0017499,              0.0017499,              0.0017499
                     14,                 1.0729,                0.43297,                 1.0823,                0.84408,                 0.7747,                0.81737,                0.50497,                 1.3691,                0.56296,                 1.2939,              0.0017291,              0.0017291,              0.0017291
                     15,                 1.0413,                0.42618,                 1.0698,                0.85051,                0.78261,                0.82132,                0.53368,                 1.2771,                0.52351,                 1.2561,              0.0017082,              0.0017082,              0.0017082
                     16,                 1.0654,                0.42708,                 1.0732,                0.87778,                0.80237,                0.83939,                0.51751,                 1.3071,                0.48834,                 1.2648,              0.0016874,              0.0016874,              0.0016874
                     17,                 1.0616,                0.43027,                 1.0657,                0.84209,                0.80098,                0.83342,                0.51452,                 1.3076,                0.50267,                 1.2845,              0.0016665,              0.0016665,              0.0016665
                     18,                   1.06,                0.39842,                 1.0723,                0.84539,                0.79051,                0.83391,                0.52991,                 1.2454,                0.50862,                 1.2375,              0.0016457,              0.0016457,              0.0016457
                     19,                 1.0662,                0.41514,                  1.084,                0.88824,                0.78656,                 0.8372,                0.53124,                 1.2646,                0.49837,                 1.2358,              0.0016248,              0.0016248,              0.0016248
                     20,                 1.0471,                0.41952,                 1.0761,                  0.846,                0.80237,                0.84059,                 0.5425,                 1.2258,                0.53263,                 1.2251,               0.001604,               0.001604,               0.001604
                     21,                 1.0674,                0.43826,                 1.0885,                0.79704,                0.82266,                0.83082,                0.51932,                 1.2696,                0.52141,                 1.2368,              0.0015832,              0.0015832,              0.0015832
                     22,                 1.0145,                0.39191,                 1.0564,                 0.8569,                0.77075,                0.83062,                0.52895,                 1.2747,                0.51128,                  1.238,              0.0015623,              0.0015623,              0.0015623
                     23,                 1.0235,                0.41008,                 1.0473,                0.82994,                0.80632,                0.83761,                 0.5321,                 1.2619,                0.50221,                 1.2203,              0.0015415,              0.0015415,              0.0015415
                     24,                 1.0389,                0.40454,                 1.0642,                0.84767,                0.81423,                 0.8362,                0.51458,                 1.2487,                0.53338,                  1.221,              0.0015206,              0.0015206,              0.0015206
                     25,                 1.0336,                0.41588,                  1.056,                0.86671,                0.79677,                0.85803,                 0.5433,                 1.2269,                0.50285,                 1.2119,              0.0014998,              0.0014998,              0.0014998
