                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1128,                 2.7161,                 2.3265,                0.36099,                0.13998,                0.15017,                0.05121,                 2.6607,                 1.7409,                 2.0114,              0.0033326,              0.0033326,              0.0033326
                      2,                 2.5099,                 1.7024,                 1.8202,                0.31746,                0.20215,                0.18995,                0.06914,                 2.5278,                 1.7515,                 1.8389,               0.006644,               0.006644,               0.006644
                      3,                 2.3979,                 1.5018,                 1.7269,                0.37921,                0.23122,                0.24914,                0.09542,                 2.3773,                  1.704,                 1.7381,              0.0099333,              0.0099333,              0.0099333
                      4,                 2.3089,                 1.3707,                 1.6554,                  0.545,                0.40653,                0.42797,                0.16462,                 2.2847,                 1.2679,                 1.6636,               0.009901,               0.009901,               0.009901
                      5,                 2.2875,                 1.2832,                 1.6376,                0.50582,                0.40698,                 0.4375,                0.16011,                 2.2734,                 1.2879,                  1.639,               0.009868,               0.009868,               0.009868
                      6,                 2.2418,                 1.2198,                 1.5815,                0.50388,                0.36136,                0.37974,                0.14417,                 2.2348,                 1.3636,                  1.621,               0.009835,               0.009835,               0.009835
                      7,                 2.2012,                 1.1428,                 1.5735,                0.69824,                0.51208,                0.57887,                0.22267,                 2.1874,                 1.0784,                 1.5901,               0.009802,               0.009802,               0.009802
                      8,                 2.1865,                 1.0988,                 1.5611,                0.67455,                0.49499,                0.57186,                0.22394,                 2.1564,                  1.078,                 1.5803,               0.009769,               0.009769,               0.009769
                      9,                 2.1597,                 1.0649,                 1.5374,                0.67679,                0.53444,                0.61663,                0.23659,                 2.1602,                0.98095,                 1.5625,               0.009736,               0.009736,               0.009736
                     10,                 2.1322,                 1.0216,                 1.5308,                0.73089,                 0.5814,                0.65071,                0.25008,                 2.1599,                0.99085,                 1.5627,               0.009703,               0.009703,               0.009703
                     11,                 2.1211,                 1.0078,                 1.5214,                0.76335,                0.54472,                0.64902,                0.25481,                 2.1229,                0.99754,                 1.5409,                0.00967,                0.00967,                0.00967
                     12,                 2.1044,                0.97275,                 1.5038,                0.77598,                0.58229,                 0.6771,                0.26819,                 2.1309,                0.94752,                 1.5374,               0.009637,               0.009637,               0.009637
                     13,                 2.0904,                0.95294,                 1.5093,                0.73605,                0.57648,                0.66048,                 0.2574,                 2.1198,                0.96362,                 1.5413,               0.009604,               0.009604,               0.009604
                     14,                 2.0809,                0.92183,                 1.4929,                0.78958,                0.59745,                0.69887,                 0.2729,                 2.1213,                0.95727,                 1.5408,               0.009571,               0.009571,               0.009571
                     15,                 2.0549,                 0.9237,                 1.4766,                0.80061,                0.64467,                0.73123,                0.29152,                 2.0672,                0.89239,                 1.5114,               0.009538,               0.009538,               0.009538
                     16,                 2.0587,                 0.8938,                  1.474,                0.79429,                0.65072,                0.73618,                0.29204,                 2.1005,                0.87925,                 1.5224,               0.009505,               0.009505,               0.009505
                     17,                 2.0277,                0.88246,                 1.4749,                0.83732,                0.69059,                0.76269,                 0.3033,                 2.0713,                0.86263,                 1.5102,               0.009472,               0.009472,               0.009472
                     18,                 2.0363,                0.86074,                 1.4657,                 0.8269,                0.68366,                0.76954,                0.31899,                  2.052,                0.83603,                 1.4997,               0.009439,               0.009439,               0.009439
                     19,                 2.0328,                0.84784,                 1.4712,                0.82358,                0.67645,                0.77376,                0.31436,                 2.0874,                0.84343,                 1.5142,               0.009406,               0.009406,               0.009406
                     20,                 2.0074,                0.82172,                 1.4614,                0.84723,                0.69693,                0.77069,                0.30593,                  2.128,                0.83078,                 1.5229,               0.009373,               0.009373,               0.009373
                     21,                 2.0156,                0.83733,                 1.4625,                0.84103,                0.69007,                 0.7837,                0.32331,                 2.0553,                0.81313,                 1.5026,                0.00934,                0.00934,                0.00934
                     22,                 2.0156,                0.81265,                 1.4511,                0.86663,                0.72272,                0.80971,                0.32674,                 2.0472,                0.76549,                 1.4935,               0.009307,               0.009307,               0.009307
                     23,                 1.9929,                0.80905,                 1.4348,                0.85742,                0.71869,                0.79441,                0.32773,                 2.0453,                0.79808,                   1.49,               0.009274,               0.009274,               0.009274
                     24,                 2.0021,                0.80526,                 1.4332,                0.85186,                0.68828,                0.78811,                0.32706,                 2.0318,                0.79384,                 1.4807,               0.009241,               0.009241,               0.009241
                     25,                 1.9894,                0.77664,                 1.4415,                0.87464,                0.72182,                0.80802,                0.31303,                 2.0867,                0.76197,                 1.5043,               0.009208,               0.009208,               0.009208
